Postcode,Latitude,Longitude
PA42 7DR,55.63044106,-6.18819842
PA5 8SL,55.83749251,-4.51463208
PA5 8SU,55.83646873,-4.51766449
PA5 8PZ,55.83347573,-4.51502749
PA6 7AR,55.87136812,-4.54046576
PA60 7XG,55.8491544,-5.94726862
PA61 7YW,56.07095281,-6.18965316
PA7 5AW,55.9044576,-4.50120642
PA75 6PN,56.61995498,-6.07541223
PA78 6SY,56.6233998,-6.52757721
PA77 6UN,56.49477856,-6.84387456
PA8 6BS,55.90837415,-4.46523198
PA8 7AF,55.90510376,-4.44851267
PA8 7JQ,55.89966308,-4.44369044
PA8 7JQ,55.89996801,-4.44100604
PA80 5XT,56.53873727,-5.77916595
PA80 5XT,56.99752757,-7.4971108
PH1 1NU,56.39534537,-3.45116473
PH1 1PP,56.39771387,-3.44454715
PH1 4NN,56.48206075,-3.44425982
PH10 6BT,56.58918062,-3.34070738
PH10 6EF,56.58643136,-3.34569019
PH11 8EQ,56.61812281,-3.22914374
PH13 9DD,56.54489901,-3.26573907
PH15 2BL,56.61851494,-3.87054164
PH16 5FG,56.70172778,-3.7367142
PH2 0JB,56.39443688,-3.44586489
PH2 7TD,56.40303231,-3.19842972
PH2 8HH,56.39481818,-3.43935037
PH20 1AH,57.02020392,-4.28579612
PH21 1ET,57.08110569,-4.05371629
PH26 3HR,57.33717972,-3.60434929
PH3 1JH,56.2928867,-3.71724995
PH32 4BH,57.14278534,-4.68501575
PH36 4JU,56.74796482,-5.80322166
PH41 4RN,57.00398279,-5.83099225
PH42 4RL,56.90188681,-6.1427697
PH49 4JB,56.67681869,-5.13083411
PH50 4QU,56.71641738,-4.96401212
PH8 0AD,56.56188854,-3.58612159
TD1 1PF,55.61872268,-2.8128967
TD1 2SQ,55.69162211,-2.86547265
TD10 6XJ,55.70805432,-2.46204799
TD11 3EL,55.77261185,-2.34142787
TD12 4LQ,55.64757586,-2.26445134
TD14 5DD,55.87098837,-2.09151256
TD4 6DW,55.63686552,-2.67983593
TD6 0PP,55.57733871,-2.67132014
TD7 4LJ,55.5503974,-2.83935063
TD8 6EN,55.47864103,-2.55272027
TD9 0RU,55.18163934,-2.81171422
ZE1 0RB,60.15144695,-1.15342748
ZE1 0TN,60.13989362,-1.27343757
ZE2 9AE,60.35186339,-1.01656744
ZE2 9BX,60.6010114,-1.06898921
ZE2 9DY,60.75868751,-0.88104196
ZE2 9HX,59.97170633,-1.27246578
ZE2 9NA,60.25354655,-1.40423706
ZE2 9QJ,60.38609345,-1.34531244
ZE2 9RW,60.47843953,-1.48229175
