PracticeCode,Sex,Attribute,Value
11289,Female,Ages 75 to 84,276
11289,Female,Ages 85 plus,116
11306,Male,Ages 0 to 4,149
11306,Male,Ages 5 to 14,465
11306,Male,Ages 15 to 24,490
11306,Male,Ages 25 to 44,980
11306,Male,Ages 45 to 64,1278
11306,Male,Ages 65 to 74,508
11306,Male,Ages 75 to 84,402
11306,Male,Ages 85 plus,111
11306,Female,Ages 0 to 4,144
11306,Female,Ages 5 to 14,453
11306,Female,Ages 15 to 24,477
11306,Female,Ages 25 to 44,960
11306,Female,Ages 45 to 64,1388
11306,Female,Ages 65 to 74,613
11306,Female,Ages 75 to 84,538
11306,Female,Ages 85 plus,292
11363,Male,Ages 0 to 4,197
11363,Male,Ages 5 to 14,413
11363,Male,Ages 15 to 24,1130
11363,Male,Ages 25 to 44,2347
11363,Male,Ages 45 to 64,1069
11363,Male,Ages 65 to 74,396
11363,Male,Ages 75 to 84,189
11363,Male,Ages 85 plus,68
11363,Female,Ages 0 to 4,159
11363,Female,Ages 5 to 14,377
11363,Female,Ages 15 to 24,1782
11363,Female,Ages 25 to 44,2039
11363,Female,Ages 45 to 64,931
11363,Female,Ages 65 to 74,385
11363,Female,Ages 75 to 84,253
11363,Female,Ages 85 plus,122
11382,Male,Ages 0 to 4,215
11382,Male,Ages 5 to 14,529
11382,Male,Ages 15 to 24,552
11382,Male,Ages 25 to 44,1417
11382,Male,Ages 45 to 64,1134
11382,Male,Ages 65 to 74,393
11382,Male,Ages 75 to 84,211
11382,Male,Ages 85 plus,54
11382,Female,Ages 0 to 4,176
11382,Female,Ages 5 to 14,488
11382,Female,Ages 15 to 24,520
11382,Female,Ages 25 to 44,1229
11382,Female,Ages 45 to 64,1136
11382,Female,Ages 65 to 74,412
11382,Female,Ages 75 to 84,262
11382,Female,Ages 85 plus,98
11486,Male,Ages 0 to 4,182
11486,Male,Ages 5 to 14,482
11486,Male,Ages 15 to 24,495
11486,Male,Ages 25 to 44,1286
11486,Male,Ages 45 to 64,964
11486,Male,Ages 65 to 74,364
11486,Male,Ages 75 to 84,171
11486,Male,Ages 85 plus,41
